group,run,tick,day,datetime,new_cases,cumulative_cases,new_cases_age,cumulative_cases_age,n_inf_age_0_29,n_inf_age_30_59,n_inf_age_60,scale_to_population,scale_to_100k,cumulative_cases/100k,adj_cumulative_cases/100k,date,empirical_cumulative_cases,empirical_cumulative_cases/100k
9,9,17,1,2020-03-24,29,79,1514,4076,7,46,26,131.17089,1.0,79.0,81.09997431594769,2020-03-24,8052,61.38557114310957
9,10,17,1,2020-03-24,33,83,1529,3795,22,41,20,131.16957830421697,0.999990000099999,82.99917000829993,85.09964431924766,2020-03-24,8052,61.38557114310957
9,11,17,1,2020-03-24,29,79,1409,3600,23,32,24,131.17089,1.0,79.0,81.09997431594769,2020-03-24,8052,61.38557114310957
9,12,17,1,2020-03-24,30,80,1442,3867,18,34,28,131.16957830421697,0.999990000099999,79.99920000799992,82.09967431894765,2020-03-24,8052,61.38557114310957
9,13,17,1,2020-03-24,31,81,1514,3838,22,27,32,131.16957830421697,0.999990000099999,80.99919000809993,83.09966431904766,2020-03-24,8052,61.38557114310957
9,14,17,1,2020-03-24,32,82,1646,4108,16,34,32,131.17089,1.0,82.0,84.09997431594769,2020-03-24,8052,61.38557114310957
9,15,17,1,2020-03-24,30,80,1267,3567,19,45,16,131.16170868039237,0.999930004899657,79.99440039197256,82.0978744629374,2020-03-24,8052,61.38557114310957
9,16,17,1,2020-03-24,34,84,1530,3912,19,40,25,131.16957830421697,0.999990000099999,83.99916000839993,86.09963431934767,2020-03-24,8052,61.38557114310957
9,17,17,1,2020-03-24,25,75,1213,3610,15,32,28,131.17089,1.0,75.0,77.09997431594769,2020-03-24,8052,61.38557114310957
9,18,17,1,2020-03-24,29,79,1368,3739,15,42,22,131.16564337426502,0.999960001599936,78.99684012639494,81.09881436234583,2020-03-24,8052,61.38557114310957
9,19,17,1,2020-03-24,29,79,1283,3556,23,37,19,131.16957830421697,0.999990000099999,78.99921000789992,81.09968431884766,2020-03-24,8052,61.38557114310957
9,20,17,1,2020-03-24,27,77,1259,3601,19,31,27,131.16957830421697,0.999990000099999,76.99923000769992,79.09970431864767,2020-03-24,8052,61.38557114310957
9,21,17,1,2020-03-24,29,79,1248,3524,22,32,25,131.1682666346673,0.999980000399992,78.99842003159937,81.09939432754746,2020-03-24,8052,61.38557114310957
9,22,17,1,2020-03-24,26,76,1195,3479,21,30,25,131.17089,1.0,76.0,78.09997431594769,2020-03-24,8052,61.38557114310957
9,23,17,1,2020-03-24,35,85,1786,4205,20,28,37,131.17089,1.0,85.0,87.09997431594769,2020-03-24,8052,61.38557114310957
9,24,17,1,2020-03-24,31,81,1309,3599,22,38,21,131.17089,1.0,81.0,83.09997431594769,2020-03-24,8052,61.38557114310957
9,25,17,1,2020-03-24,30,80,1331,3645,19,30,31,131.1682666346673,0.999980000399992,79.99840003199937,82.09937432794746,2020-03-24,8052,61.38557114310957
9,26,17,1,2020-03-24,28,78,1330,3864,20,23,35,131.16957830421697,0.999990000099999,77.99922000779992,80.09969431874765,2020-03-24,8052,61.38557114310957
9,27,17,1,2020-03-24,31,81,1572,4025,16,29,36,131.17089,1.0,81.0,83.09997431594769,2020-03-24,8052,61.38557114310957
9,28,17,1,2020-03-24,30,80,1519,3848,19,30,31,131.17089,1.0,80.0,82.09997431594769,2020-03-24,8052,61.38557114310957
9,29,17,1,2020-03-24,30,80,1429,3738,19,36,25,131.17089,1.0,80.0,82.09997431594769,2020-03-24,8052,61.38557114310957
9,30,17,1,2020-03-24,32,82,1445,3570,27,32,23,131.1682666346673,0.999980000399992,81.99836003279934,84.09933432874743,2020-03-24,8052,61.38557114310957
9,31,17,1,2020-03-24,22,72,1159,3584,16,28,28,131.1682666346673,0.999980000399992,71.99856002879943,74.09953432474752,2020-03-24,8052,61.38557114310957
9,32,17,1,2020-03-24,33,83,1592,4002,21,32,30,131.17089,1.0,83.0,85.09997431594769,2020-03-24,8052,61.38557114310957
9,33,17,1,2020-03-24,30,80,1468,3754,25,24,31,131.17089,1.0,80.0,82.09997431594769,2020-03-24,8052,61.38557114310957
9,34,17,1,2020-03-24,28,78,1391,3834,12,36,30,131.17089,1.0,78.0,80.09997431594769,2020-03-24,8052,61.38557114310957
9,35,17,1,2020-03-24,25,75,1197,3519,18,33,24,131.1682666346673,0.999980000399992,74.9985000299994,77.0994743259475,2020-03-24,8052,61.38557114310957
9,36,17,1,2020-03-24,32,82,1410,3520,24,40,18,131.16957830421697,0.999990000099999,81.99918000819993,84.09965431914767,2020-03-24,8052,61.38557114310957
9,37,17,1,2020-03-24,33,83,1470,3775,19,39,25,131.17089,1.0,83.0,85.09997431594769,2020-03-24,8052,61.38557114310957
9,38,17,1,2020-03-24,33,83,1755,4323,9,43,31,131.17089,1.0,83.0,85.09997431594769,2020-03-24,8052,61.38557114310957
9,39,17,1,2020-03-24,30,80,1259,3327,31,32,17,131.17089,1.0,80.0,82.09997431594769,2020-03-24,8052,61.38557114310957
9,40,17,1,2020-03-24,26,76,1202,3410,19,44,13,131.17089,1.0,76.0,78.09997431594769,2020-03-24,8052,61.38557114310957
